date,forecast_price
2024-12-31,3365.2952
2025-01-01,3350.2393
2025-01-02,3342.1162
2025-01-03,3336.9868
2025-01-04,3333.6533
2025-01-05,3331.4429
2025-01-06,3329.9604
2025-01-07,3328.9583
2025-01-08,3328.2773
2025-01-09,3327.814
2025-01-10,3327.4976
2025-01-11,3327.2812
2025-01-12,3327.134
2025-01-13,3327.0332
2025-01-14,3326.9639
2025-01-15,3326.9167
2025-01-16,3326.8843
2025-01-17,3326.8618
2025-01-18,3326.8467
2025-01-19,3326.8364
2025-01-20,3326.8296
2025-01-21,3326.8245
2025-01-22,3326.8213
2025-01-23,3326.8188
2025-01-24,3326.8174
2025-01-25,3326.8164
2025-01-26,3326.8157
2025-01-27,3326.8152
2025-01-28,3326.8147
2025-01-29,3326.8145
