date,forecast_price
2024-12-31,3776.7246
2025-01-01,3768.6174
2025-01-02,3765.9053
2025-01-03,3764.8767
2025-01-04,3764.4104
2025-01-05,3764.1602
2025-01-06,3764.0066
2025-01-07,3763.9058
2025-01-08,3763.8386
2025-01-09,3763.7937
2025-01-10,3763.7642
2025-01-11,3763.7446
2025-01-12,3763.7322
2025-01-13,3763.724
2025-01-14,3763.719
2025-01-15,3763.7158
2025-01-16,3763.7136
2025-01-17,3763.7124
2025-01-18,3763.7114
2025-01-19,3763.711
2025-01-20,3763.7104
2025-01-21,3763.7102
2025-01-22,3763.71
2025-01-23,3763.71
2025-01-24,3763.71
2025-01-25,3763.71
2025-01-26,3763.7097
2025-01-27,3763.7097
2025-01-28,3763.7097
2025-01-29,3763.7097
