date,forecast_price
2024-12-31,3026.9497
2025-01-01,3024.045
2025-01-02,3022.8223
2025-01-03,3022.4954
2025-01-04,3022.6445
2025-01-05,3023.0474
2025-01-06,3023.5771
2025-01-07,3024.1572
2025-01-08,3024.743
2025-01-09,3025.3052
2025-01-10,3025.8303
2025-01-11,3026.311
2025-01-12,3026.744
2025-01-13,3027.131
2025-01-14,3027.4731
2025-01-15,3027.7751
2025-01-16,3028.0388
2025-01-17,3028.2695
2025-01-18,3028.4697
2025-01-19,3028.644
2025-01-20,3028.7957
2025-01-21,3028.9268
2025-01-22,3029.0398
2025-01-23,3029.1377
2025-01-24,3029.222
2025-01-25,3029.2942
2025-01-26,3029.3567
2025-01-27,3029.4104
2025-01-28,3029.4563
2025-01-29,3029.4956
