date,forecast_price
2024-12-31,3314.2256
2025-01-01,3300.8528
2025-01-02,3289.8613
2025-01-03,3281.7131
2025-01-04,3275.7378
2025-01-05,3271.3682
2025-01-06,3268.1824
2025-01-07,3265.8635
2025-01-08,3264.1826
2025-01-09,3262.9622
2025-01-10,3262.0776
2025-01-11,3261.4375
2025-01-12,3260.974
2025-01-13,3260.6392
2025-01-14,3260.3967
2025-01-15,3260.2217
2025-01-16,3260.0952
2025-01-17,3260.004
2025-01-18,3259.9377
2025-01-19,3259.89
2025-01-20,3259.8557
2025-01-21,3259.8308
2025-01-22,3259.8127
2025-01-23,3259.7998
2025-01-24,3259.7905
2025-01-25,3259.7834
2025-01-26,3259.7788
2025-01-27,3259.775
2025-01-28,3259.7725
2025-01-29,3259.7708
