date,forecast_price
2024-12-31,3539.0913
2025-01-01,3523.7507
2025-01-02,3517.769
2025-01-03,3515.857
2025-01-04,3515.5933
2025-01-05,3515.9124
2025-01-06,3516.3674
2025-01-07,3516.791
2025-01-08,3517.1326
2025-01-09,3517.3894
2025-01-10,3517.5747
2025-01-11,3517.705
2025-01-12,3517.7952
2025-01-13,3517.8564
2025-01-14,3517.8982
2025-01-15,3517.926
2025-01-16,3517.9446
2025-01-17,3517.957
2025-01-18,3517.9656
2025-01-19,3517.971
2025-01-20,3517.9746
2025-01-21,3517.977
2025-01-22,3517.9788
2025-01-23,3517.9797
2025-01-24,3517.9807
2025-01-25,3517.981
2025-01-26,3517.9814
2025-01-27,3517.9817
2025-01-28,3517.9814
2025-01-29,3517.982
