date,forecast_price
2024-12-31,3987.9377
2025-01-01,3991.593
2025-01-02,3992.7603
2025-01-03,3996.943
2025-01-04,4000.8413
2025-01-05,4000.814
2025-01-06,4005.1636
2025-01-07,4006.9143
2025-01-08,4008.4868
2025-01-09,4010.5747
2025-01-10,4010.467
2025-01-11,4013.2766
2025-01-12,4012.204
2025-01-13,4014.8276
2025-01-14,4015.6316
2025-01-15,4020.3582
2025-01-16,4021.7427
2025-01-17,4025.978
2025-01-18,4025.4717
2025-01-19,4034.201
2025-01-20,4035.5159
2025-01-21,4039.0842
2025-01-22,4041.74
2025-01-23,4044.9
2025-01-24,4044.6973
2025-01-25,4041.7915
2025-01-26,4060.6511
2025-01-27,4066.6924
2025-01-28,4071.5908
2025-01-29,4072.8418
