date,forecast_price
2024-12-31,3976.4023
2025-01-01,3979.0222
2025-01-02,3979.4175
2025-01-03,3981.9565
2025-01-04,3983.9026
2025-01-05,3983.357
2025-01-06,3986.0684
2025-01-07,3986.9438
2025-01-08,3987.5938
2025-01-09,3988.472
2025-01-10,3988.228
2025-01-11,3989.152
2025-01-12,3988.6248
2025-01-13,3989.4226
2025-01-14,3989.436
2025-01-15,3990.9436
2025-01-16,3990.9233
2025-01-17,3992.5125
2025-01-18,3991.2632
2025-01-19,3995.3735
2025-01-20,3995.2856
2025-01-21,3996.359
2025-01-22,3996.5042
2025-01-23,3997.3823
2025-01-24,3995.1008
2025-01-25,3990.3008
2025-01-26,4000.9697
2025-01-27,4004.9583
2025-01-28,4008.0474
2025-01-29,4008.4614
