date,forecast_price
2024-12-31,4626.718
2025-01-01,4624.9536
2025-01-02,4624.13
2025-01-03,4624.099
2025-01-04,4624.225
2025-01-05,4624.372
2025-01-06,4624.4946
2025-01-07,4624.585
2025-01-08,4624.6475
2025-01-09,4624.689
2025-01-10,4624.717
2025-01-11,4624.734
2025-01-12,4624.745
2025-01-13,4624.7524
2025-01-14,4624.757
2025-01-15,4624.76
2025-01-16,4624.761
2025-01-17,4624.762
2025-01-18,4624.763
2025-01-19,4624.763
2025-01-20,4624.7637
2025-01-21,4624.764
2025-01-22,4624.764
2025-01-23,4624.764
2025-01-24,4624.764
2025-01-25,4624.764
2025-01-26,4624.7646
2025-01-27,4624.7646
2025-01-28,4624.7646
2025-01-29,4624.7646
