date,forecast_price
2024-12-31,3828.7874
2025-01-01,3834.6821
2025-01-02,3839.2766
2025-01-03,3842.5586
2025-01-04,3844.818
2025-01-05,3846.3433
2025-01-06,3847.3623
2025-01-07,3848.0405
2025-01-08,3848.4907
2025-01-09,3848.7903
2025-01-10,3848.9902
2025-01-11,3849.124
2025-01-12,3849.2144
2025-01-13,3849.2754
2025-01-14,3849.3174
2025-01-15,3849.3462
2025-01-16,3849.3662
2025-01-17,3849.38
2025-01-18,3849.39
2025-01-19,3849.3967
2025-01-20,3849.4016
2025-01-21,3849.405
2025-01-22,3849.4075
2025-01-23,3849.4094
2025-01-24,3849.4106
2025-01-25,3849.4116
2025-01-26,3849.4124
2025-01-27,3849.4128
2025-01-28,3849.413
2025-01-29,3849.4133
