date,forecast_price
2024-12-31,3876.58
2025-01-01,3879.2515
2025-01-02,3879.63
2025-01-03,3879.2415
2025-01-04,3878.6587
2025-01-05,3878.0793
2025-01-06,3877.5603
2025-01-07,3877.113
2025-01-08,3876.7341
2025-01-09,3876.4165
2025-01-10,3876.1514
2025-01-11,3875.9316
2025-01-12,3875.75
2025-01-13,3875.6006
2025-01-14,3875.4778
2025-01-15,3875.3774
2025-01-16,3875.296
2025-01-17,3875.2292
2025-01-18,3875.1753
2025-01-19,3875.1313
2025-01-20,3875.096
2025-01-21,3875.0674
2025-01-22,3875.044
2025-01-23,3875.0254
2025-01-24,3875.0103
2025-01-25,3874.998
2025-01-26,3874.9883
2025-01-27,3874.9805
2025-01-28,3874.9739
2025-01-29,3874.969
