date,forecast_price
2024-12-31,3678.11
2025-01-01,3682.3796
2025-01-02,3685.292
2025-01-03,3687.261
2025-01-04,3688.6233
2025-01-05,3689.583
2025-01-06,3690.2659
2025-01-07,3690.755
2025-01-08,3691.1064
2025-01-09,3691.3599
2025-01-10,3691.5435
2025-01-11,3691.6765
2025-01-12,3691.773
2025-01-13,3691.8433
2025-01-14,3691.8943
2025-01-15,3691.9316
2025-01-16,3691.9587
2025-01-17,3691.9785
2025-01-18,3691.993
2025-01-19,3692.0034
2025-01-20,3692.011
2025-01-21,3692.0166
2025-01-22,3692.0208
2025-01-23,3692.0237
2025-01-24,3692.026
2025-01-25,3692.0273
2025-01-26,3692.0286
2025-01-27,3692.0293
2025-01-28,3692.03
2025-01-29,3692.0303
