date,forecast_price
2024-12-31,4475.428
2025-01-01,4479.489
2025-01-02,4479.452
2025-01-03,4479.6147
2025-01-04,4479.6914
2025-01-05,4479.731
2025-01-06,4479.75
2025-01-07,4479.758
2025-01-08,4479.7593
2025-01-09,4479.758
2025-01-10,4479.754
2025-01-11,4479.7495
2025-01-12,4479.7446
2025-01-13,4479.7397
2025-01-14,4479.7354
2025-01-15,4479.7305
2025-01-16,4479.7266
2025-01-17,4479.7227
2025-01-18,4479.7197
2025-01-19,4479.7163
2025-01-20,4479.714
2025-01-21,4479.711
2025-01-22,4479.709
2025-01-23,4479.707
2025-01-24,4479.705
2025-01-25,4479.7036
2025-01-26,4479.702
2025-01-27,4479.701
2025-01-28,4479.7
2025-01-29,4479.699
