date,forecast_price
2024-12-31,4242.348
2025-01-01,4242.709
2025-01-02,4242.702
2025-01-03,4242.5728
2025-01-04,4242.47
2025-01-05,4242.395
2025-01-06,4242.3423
2025-01-07,4242.3057
2025-01-08,4242.2803
2025-01-09,4242.263
2025-01-10,4242.2515
2025-01-11,4242.243
2025-01-12,4242.238
2025-01-13,4242.234
2025-01-14,4242.2314
2025-01-15,4242.2295
2025-01-16,4242.2285
2025-01-17,4242.2275
2025-01-18,4242.227
2025-01-19,4242.2266
2025-01-20,4242.226
2025-01-21,4242.226
2025-01-22,4242.2256
2025-01-23,4242.2256
2025-01-24,4242.2256
2025-01-25,4242.2256
2025-01-26,4242.225
2025-01-27,4242.225
2025-01-28,4242.225
2025-01-29,4242.225
