date,forecast_price
2024-12-31,4270.418
2025-01-01,4274.6875
2025-01-02,4275.8413
2025-01-03,4276.531
2025-01-04,4276.925
2025-01-05,4277.1475
2025-01-06,4277.2695
2025-01-07,4277.333
2025-01-08,4277.3633
2025-01-09,4277.3745
2025-01-10,4277.3765
2025-01-11,4277.373
2025-01-12,4277.3677
2025-01-13,4277.362
2025-01-14,4277.356
2025-01-15,4277.351
2025-01-16,4277.3467
2025-01-17,4277.3433
2025-01-18,4277.3403
2025-01-19,4277.338
2025-01-20,4277.3364
2025-01-21,4277.3345
2025-01-22,4277.3335
2025-01-23,4277.3325
2025-01-24,4277.332
2025-01-25,4277.331
2025-01-26,4277.331
2025-01-27,4277.3306
2025-01-28,4277.33
2025-01-29,4277.33
