date,forecast_price
2024-12-31,3632.3677
2025-01-01,3636.7537
2025-01-02,3632.2031
2025-01-03,3638.0254
2025-01-04,3644.6343
2025-01-05,3636.0938
2025-01-06,3643.7117
2025-01-07,3644.8484
2025-01-08,3646.1
2025-01-09,3649.889
2025-01-10,3646.5164
2025-01-11,3651.879
2025-01-12,3644.3616
2025-01-13,3646.9375
2025-01-14,3643.922
2025-01-15,3651.1858
2025-01-16,3650.028
2025-01-17,3656.217
2025-01-18,3647.5881
2025-01-19,3664.3713
2025-01-20,3663.5845
2025-01-21,3668.8816
2025-01-22,3672.673
2025-01-23,3678.3535
2025-01-24,3673.2966
2025-01-25,3647.897
2025-01-26,3686.7524
2025-01-27,3697.4575
2025-01-28,3707.5977
2025-01-29,3708.2314
