date,forecast_price
2024-12-31,3773.5688
2025-01-01,3780.477
2025-01-02,3774.9832
2025-01-03,3784.515
2025-01-04,3793.7334
2025-01-05,3784.1406
2025-01-06,3796.3872
2025-01-07,3798.5076
2025-01-08,3800.7407
2025-01-09,3806.1016
2025-01-10,3801.463
2025-01-11,3808.7935
2025-01-12,3800.0286
2025-01-13,3804.861
2025-01-14,3802.1782
2025-01-15,3813.894
2025-01-16,3813.9265
2025-01-17,3823.8462
2025-01-18,3816.5667
2025-01-19,3838.1516
2025-01-20,3838.976
2025-01-21,3847.4917
2025-01-22,3853.6296
2025-01-23,3860.847
2025-01-24,3857.0847
2025-01-25,3836.894
2025-01-26,3876.2756
2025-01-27,3889.8032
2025-01-28,3901.9229
2025-01-29,3903.272
