date,forecast_price
2024-12-31,3696.4883
2025-01-01,3703.3396
2025-01-02,3699.2505
2025-01-03,3709.1328
2025-01-04,3719.7585
2025-01-05,3703.7998
2025-01-06,3714.3777
2025-01-07,3718.6272
2025-01-08,3722.102
2025-01-09,3731.207
2025-01-10,3721.0518
2025-01-11,3731.766
2025-01-12,3707.7952
2025-01-13,3708.596
2025-01-14,3701.865
2025-01-15,3708.0664
2025-01-16,3703.1565
2025-01-17,3711.5652
2025-01-18,3699.3015
2025-01-19,3719.683
2025-01-20,3717.1252
2025-01-21,3723.4663
2025-01-22,3725.8472
2025-01-23,3734.1572
2025-01-24,3724.8484
2025-01-25,3704.016
2025-01-26,3737.9543
2025-01-27,3754.2834
2025-01-28,3764.7886
2025-01-29,3766.1802
