date,forecast_price
2024-12-31,3709.2395
2025-01-01,3712.303
2025-01-02,3713.658
2025-01-03,3713.6714
2025-01-04,3713.1624
2025-01-05,3712.5435
2025-01-06,3711.9868
2025-01-07,3711.5425
2025-01-08,3711.2097
2025-01-09,3710.9695
2025-01-10,3710.8003
2025-01-11,3710.6829
2025-01-12,3710.602
2025-01-13,3710.547
2025-01-14,3710.5098
2025-01-15,3710.4846
2025-01-16,3710.4678
2025-01-17,3710.4565
2025-01-18,3710.449
2025-01-19,3710.4438
2025-01-20,3710.4404
2025-01-21,3710.4382
2025-01-22,3710.437
2025-01-23,3710.436
2025-01-24,3710.435
2025-01-25,3710.4346
2025-01-26,3710.4343
2025-01-27,3710.4343
2025-01-28,3710.434
2025-01-29,3710.434
