date,forecast_price
2024-12-31,3538.7896
2025-01-01,3551.4941
2025-01-02,3559.7651
2025-01-03,3565.5215
2025-01-04,3569.6257
2025-01-05,3572.5803
2025-01-06,3574.7043
2025-01-07,3576.2178
2025-01-08,3577.281
2025-01-09,3578.0134
2025-01-10,3578.5066
2025-01-11,3578.8271
2025-01-12,3579.0264
2025-01-13,3579.1414
2025-01-14,3579.1995
2025-01-15,3579.22
2025-01-16,3579.2178
2025-01-17,3579.2014
2025-01-18,3579.1782
2025-01-19,3579.152
2025-01-20,3579.126
2025-01-21,3579.1013
2025-01-22,3579.0789
2025-01-23,3579.0593
2025-01-24,3579.0427
2025-01-25,3579.0283
2025-01-26,3579.0168
2025-01-27,3579.0073
2025-01-28,3578.9995
2025-01-29,3578.9934
