date,forecast_price
2024-12-31,1208.1312
2025-01-01,1213.1292
2025-01-02,1218.0508
2025-01-03,1223.1554
2025-01-04,1228.2566
2025-01-05,1232.7832
2025-01-06,1237.656
2025-01-07,1242.6421
2025-01-08,1247.3317
2025-01-09,1252.0496
2025-01-10,1256.4955
2025-01-11,1260.8323
2025-01-12,1265.1171
2025-01-13,1269.2367
2025-01-14,1273.1934
2025-01-15,1276.9324
2025-01-16,1280.4808
2025-01-17,1283.8353
2025-01-18,1287.0044
2025-01-19,1290.0361
2025-01-20,1292.9492
2025-01-21,1295.6603
2025-01-22,1298.1738
2025-01-23,1300.7233
2025-01-24,1302.9781
2025-01-25,1305.1206
2025-01-26,1307.2692
2025-01-27,1309.3856
2025-01-28,1311.2981
2025-01-29,1313.1512
