date,forecast_price
2024-12-31,1155.494
2025-01-01,1156.6013
2025-01-02,1157.3446
2025-01-03,1158.2883
2025-01-04,1159.0187
2025-01-05,1158.4961
2025-01-06,1158.997
2025-01-07,1159.7776
2025-01-08,1159.9696
2025-01-09,1160.4335
2025-01-10,1160.306
2025-01-11,1160.3267
2025-01-12,1161.1953
2025-01-13,1162.0035
2025-01-14,1162.9364
2025-01-15,1163.8143
2025-01-16,1164.861
2025-01-17,1165.926
2025-01-18,1167.1318
2025-01-19,1168.3511
2025-01-20,1169.5511
2025-01-21,1170.4071
2025-01-22,1171.3586
2025-01-23,1172.7523
2025-01-24,1173.4015
2025-01-25,1174.4197
2025-01-26,1175.7006
2025-01-27,1176.8353
2025-01-28,1177.5227
2025-01-29,1178.2155
