date,forecast_price
2024-12-31,1498.5566
2025-01-01,1499.1376
2025-01-02,1499.3716
2025-01-03,1499.4944
2025-01-04,1499.575
2025-01-05,1499.6349
2025-01-06,1499.6816
2025-01-07,1499.7183
2025-01-08,1499.7463
2025-01-09,1499.7676
2025-01-10,1499.7831
2025-01-11,1499.7944
2025-01-12,1499.8025
2025-01-13,1499.8081
2025-01-14,1499.812
2025-01-15,1499.8147
2025-01-16,1499.8164
2025-01-17,1499.8177
2025-01-18,1499.8185
2025-01-19,1499.8191
2025-01-20,1499.8193
2025-01-21,1499.8196
2025-01-22,1499.8196
2025-01-23,1499.8198
2025-01-24,1499.8198
2025-01-25,1499.8198
2025-01-26,1499.8198
2025-01-27,1499.82
2025-01-28,1499.8198
2025-01-29,1499.8198
