date,forecast_price
2024-12-31,1062.9275
2025-01-01,1061.7611
2025-01-02,1060.9725
2025-01-03,1060.451
2025-01-04,1060.1255
2025-01-05,1059.934
2025-01-06,1059.828
2025-01-07,1059.7739
2025-01-08,1059.7496
2025-01-09,1059.7413
2025-01-10,1059.7412
2025-01-11,1059.7444
2025-01-12,1059.7487
2025-01-13,1059.7529
2025-01-14,1059.7566
2025-01-15,1059.7598
2025-01-16,1059.7622
2025-01-17,1059.764
2025-01-18,1059.7655
2025-01-19,1059.7666
2025-01-20,1059.7673
2025-01-21,1059.7678
2025-01-22,1059.7682
2025-01-23,1059.7686
2025-01-24,1059.7688
2025-01-25,1059.7689
2025-01-26,1059.769
2025-01-27,1059.769
2025-01-28,1059.7692
2025-01-29,1059.7692
