date,forecast_price
2024-12-31,1432.0339
2025-01-01,1433.9138
2025-01-02,1434.6621
2025-01-03,1435.1348
2025-01-04,1435.4458
2025-01-05,1435.654
2025-01-06,1435.7955
2025-01-07,1435.8933
2025-01-08,1435.9617
2025-01-09,1436.0105
2025-01-10,1436.0454
2025-01-11,1436.0707
2025-01-12,1436.0892
2025-01-13,1436.103
2025-01-14,1436.1133
2025-01-15,1436.121
2025-01-16,1436.1268
2025-01-17,1436.1313
2025-01-18,1436.1348
2025-01-19,1436.1375
2025-01-20,1436.1396
2025-01-21,1436.1414
2025-01-22,1436.1426
2025-01-23,1436.1437
2025-01-24,1436.1445
2025-01-25,1436.1453
2025-01-26,1436.1458
2025-01-27,1436.1462
2025-01-28,1436.1467
2025-01-29,1436.147
