date,forecast_price
2024-12-31,1195.5789
2025-01-01,1195.507
2025-01-02,1195.3048
2025-01-03,1195.2065
2025-01-04,1195.0094
2025-01-05,1194.7152
2025-01-06,1194.6609
2025-01-07,1194.5154
2025-01-08,1194.3043
2025-01-09,1194.101
2025-01-10,1193.861
2025-01-11,1193.743
2025-01-12,1193.3949
2025-01-13,1193.1599
2025-01-14,1192.9302
2025-01-15,1192.6654
2025-01-16,1192.3746
2025-01-17,1192.3353
2025-01-18,1192.0797
2025-01-19,1191.9583
2025-01-20,1191.7589
2025-01-21,1191.6433
2025-01-22,1191.36
2025-01-23,1191.2429
2025-01-24,1191.091
2025-01-25,1190.7239
2025-01-26,1190.7327
2025-01-27,1190.9445
2025-01-28,1190.6853
2025-01-29,1190.5817
