date,forecast_price
2024-12-31,1384.4958
2025-01-01,1385.0651
2025-01-02,1385.3809
2025-01-03,1385.5513
2025-01-04,1385.6531
2025-01-05,1385.7174
2025-01-06,1385.7596
2025-01-07,1385.7878
2025-01-08,1385.807
2025-01-09,1385.8203
2025-01-10,1385.8296
2025-01-11,1385.8359
2025-01-12,1385.8406
2025-01-13,1385.8439
2025-01-14,1385.8462
2025-01-15,1385.8479
2025-01-16,1385.8491
2025-01-17,1385.8499
2025-01-18,1385.8506
2025-01-19,1385.8511
2025-01-20,1385.8513
2025-01-21,1385.8517
2025-01-22,1385.8518
2025-01-23,1385.8519
2025-01-24,1385.852
2025-01-25,1385.852
2025-01-26,1385.8522
2025-01-27,1385.8523
2025-01-28,1385.8523
2025-01-29,1385.8523
