date,forecast_price
2024-12-31,1322.2401
2025-01-01,1323.3297
2025-01-02,1323.6222
2025-01-03,1323.6079
2025-01-04,1323.5006
2025-01-05,1323.3876
2025-01-06,1323.2974
2025-01-07,1323.2336
2025-01-08,1323.1918
2025-01-09,1323.166
2025-01-10,1323.1508
2025-01-11,1323.1422
2025-01-12,1323.1378
2025-01-13,1323.1357
2025-01-14,1323.1348
2025-01-15,1323.1346
2025-01-16,1323.1346
2025-01-17,1323.1349
2025-01-18,1323.1353
2025-01-19,1323.1354
2025-01-20,1323.1356
2025-01-21,1323.1357
2025-01-22,1323.1359
2025-01-23,1323.136
2025-01-24,1323.1361
2025-01-25,1323.1361
2025-01-26,1323.1361
2025-01-27,1323.1362
2025-01-28,1323.1362
2025-01-29,1323.1362
