date,forecast_price
2024-12-31,1066.5862
2025-01-01,1066.1816
2025-01-02,1065.8715
2025-01-03,1065.6417
2025-01-04,1065.4766
2025-01-05,1065.358
2025-01-06,1065.2725
2025-01-07,1065.21
2025-01-08,1065.1637
2025-01-09,1065.129
2025-01-10,1065.1027
2025-01-11,1065.0823
2025-01-12,1065.0664
2025-01-13,1065.0541
2025-01-14,1065.0442
2025-01-15,1065.0364
2025-01-16,1065.0303
2025-01-17,1065.0253
2025-01-18,1065.0212
2025-01-19,1065.0181
2025-01-20,1065.0155
2025-01-21,1065.0134
2025-01-22,1065.0117
2025-01-23,1065.0104
2025-01-24,1065.0093
2025-01-25,1065.0084
2025-01-26,1065.0077
2025-01-27,1065.0072
2025-01-28,1065.0067
2025-01-29,1065.0063
