date,forecast_price
2024-12-31,1108.2809
2025-01-01,1111.3514
2025-01-02,1112.6302
2025-01-03,1113.1095
2025-01-04,1112.9838
2025-01-05,1112.28
2025-01-06,1111.7555
2025-01-07,1111.1147
2025-01-08,1110.2074
2025-01-09,1109.3217
2025-01-10,1108.1376
2025-01-11,1107.0557
2025-01-12,1106.0872
2025-01-13,1105.3143
2025-01-14,1104.6462
2025-01-15,1104.0162
2025-01-16,1103.4882
2025-01-17,1103.077
2025-01-18,1102.6486
2025-01-19,1102.3191
2025-01-20,1101.9896
2025-01-21,1101.6448
2025-01-22,1101.2604
2025-01-23,1101.0829
2025-01-24,1100.7627
2025-01-25,1100.4609
2025-01-26,1100.3811
2025-01-27,1100.3322
2025-01-28,1100.0117
2025-01-29,1099.8315
