date,forecast_price
2024-12-31,1102.5594
2025-01-01,1102.4014
2025-01-02,1102.3495
2025-01-03,1102.3147
2025-01-04,1102.2906
2025-01-05,1102.2727
2025-01-06,1102.259
2025-01-07,1102.249
2025-01-08,1102.242
2025-01-09,1102.2369
2025-01-10,1102.2338
2025-01-11,1102.2316
2025-01-12,1102.2302
2025-01-13,1102.2295
2025-01-14,1102.2289
2025-01-15,1102.2286
2025-01-16,1102.2285
2025-01-17,1102.2285
2025-01-18,1102.2284
2025-01-19,1102.2284
2025-01-20,1102.2284
2025-01-21,1102.2284
2025-01-22,1102.2284
2025-01-23,1102.2284
2025-01-24,1102.2284
2025-01-25,1102.2284
2025-01-26,1102.2284
2025-01-27,1102.2284
2025-01-28,1102.2284
2025-01-29,1102.2284
