trial,val_mae,params
1,19.524647279573212,"{""n_estimators"": 843, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 40, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}"
2,18.87387915706945,"{""n_estimators"": 551, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 8, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}"
3,19.188723124085396,"{""n_estimators"": 656, ""learning_rate"": 0.01, ""num_leaves"": 31, ""max_depth"": -1, ""min_child_samples"": 20, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}"
4,20.22559783125258,"{""n_estimators"": 786, ""learning_rate"": 0.08, ""num_leaves"": 127, ""max_depth"": 12, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0}"
5,18.807885052647087,"{""n_estimators"": 1655, ""learning_rate"": 0.02, ""num_leaves"": 63, ""max_depth"": -1, ""min_child_samples"": 60, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0}"
6,17.7148386258617,"{""n_estimators"": 859, ""learning_rate"": 0.1, ""num_leaves"": 127, ""max_depth"": 12, ""min_child_samples"": 60, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}"
7,18.480933867703857,"{""n_estimators"": 407, ""learning_rate"": 0.01, ""num_leaves"": 31, ""max_depth"": -1, ""min_child_samples"": 60, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}"
8,19.190355305839525,"{""n_estimators"": 1536, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": -1, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0}"
9,22.68881748480214,"{""n_estimators"": 1872, ""learning_rate"": 0.03, ""num_leaves"": 63, ""max_depth"": -1, ""min_child_samples"": 10, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 10.0}"
10,18.206247465807735,"{""n_estimators"": 1974, ""learning_rate"": 0.02, ""num_leaves"": 127, ""max_depth"": 12, ""min_child_samples"": 60, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0}"
11,17.581165293795753,"{""n_estimators"": 903, ""learning_rate"": 0.02, ""num_leaves"": 63, ""max_depth"": 12, ""min_child_samples"": 60, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0}"
12,18.98832224068239,"{""n_estimators"": 1029, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 8, ""min_child_samples"": 10, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0}"
13,20.07803395709549,"{""n_estimators"": 1629, ""learning_rate"": 0.02, ""num_leaves"": 127, ""max_depth"": -1, ""min_child_samples"": 40, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}"
14,19.744328358876984,"{""n_estimators"": 503, ""learning_rate"": 0.05, ""num_leaves"": 127, ""max_depth"": 8, ""min_child_samples"": 20, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}"
15,18.427948342923504,"{""n_estimators"": 1894, ""learning_rate"": 0.01, ""num_leaves"": 63, ""max_depth"": 5, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}"
