trial,val_mae,params
1,25.747047424316406,"{""n_estimators"": 451, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 4.0, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
2,33.006996154785156,"{""n_estimators"": 460, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 6.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
3,15.949382781982422,"{""n_estimators"": 1728, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 2.0, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""gamma"": 0.1}"
4,27.116657257080078,"{""n_estimators"": 1699, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4.0, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""gamma"": 0.0}"
5,21.944517135620117,"{""n_estimators"": 1759, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 6.0, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
6,16.311891555786133,"{""n_estimators"": 1951, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 6.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""gamma"": 0.1}"
7,17.532569885253906,"{""n_estimators"": 1146, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""gamma"": 0.1}"
8,20.427274703979492,"{""n_estimators"": 1945, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 8.0, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""gamma"": 0.0}"
9,15.466521263122559,"{""n_estimators"": 1087, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 4.0, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
10,15.852593421936035,"{""n_estimators"": 1043, ""learning_rate"": 0.01, ""max_depth"": 8, ""min_child_weight"": 6.0, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.01, ""reg_lambda"": 10.0, ""gamma"": 0.2}"
11,16.794071197509766,"{""n_estimators"": 1040, ""learning_rate"": 0.08, ""max_depth"": 8, ""min_child_weight"": 2.0, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""gamma"": 0.1}"
12,16.087671279907227,"{""n_estimators"": 537, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 8.0, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
13,21.01810073852539,"{""n_estimators"": 1102, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 6.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
14,16.36800765991211,"{""n_estimators"": 537, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 4.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
