feature,importance,model
t00_Moving Average 20 Day,0.18045878258777437,lgbm
t01_Bid Price,0.12866460088380172,lgbm
t59_Bid Price,0.11243405367997397,lgbm
t59_Ask Price,0.10689648374937749,lgbm
t49_Moving Average 20 Day,0.04923858395474901,lgbm
t05_Moving Average 20 Day,0.048068685622227866,lgbm
t01_Moving Average 20 Day,0.04229972883485223,lgbm
t55_Low Price,0.041193856826444,lgbm
t38_Low Price,0.036162168912383844,lgbm
t59_High Price,0.02810441614702804,lgbm
t57_Price to Sales Ratio,0.025803513317450826,lgbm
t59_Low Price,0.01685899534058882,lgbm
t27_Bid Price,0.016671919993806912,lgbm
t58_Low Price,0.015871067522638952,lgbm
t58_Ask Price,0.012912223783102058,lgbm
t57_High Price,0.012662090206098741,lgbm
t32_Ask Price,0.011306964361685897,lgbm
t11_Price to Sales Ratio,0.010915512287622794,lgbm
t50_Price to Sales Ratio,0.010213232777048057,lgbm
t52_Bid Price,0.010053414369106967,lgbm
t48_High Price,0.009378158683531148,lgbm
t36_High Price,0.008940197921231201,lgbm
t28_Ask Price,0.008605182869382978,lgbm
t50_Moving Average 20 Day,0.007424590751988242,lgbm
t26_Bid Price,0.00740856798891831,lgbm
t26_Ask Price,0.006972675808680304,lgbm
t34_Moving Average 20 Day,0.006965513608964297,lgbm
t57_Ask Price,0.006323789550754295,lgbm
t16_High Price,0.006155187809013789,lgbm
t45_Bid Price,0.00577241622715891,lgbm
t58_High Price,0.0057213993582031514,lgbm
t16_bi_rate,0.005567442237599065,lgbm
t57_Price Earnings Ratio,0.0051700199923401585,lgbm
t59_Price to Sales Ratio,0.005163502673794185,lgbm
t30_Dividend Indicated Yld - Gross,0.005107418834816488,lgbm
t49_High Price,0.004921893382906449,lgbm
t03_Low Price,0.004852825833829824,lgbm
t32_Price to Sales Ratio,0.004846715412687159,lgbm
t33_Moving Average 20 Day,0.004697364774142292,lgbm
t00_Bid Price,0.004569880268434327,lgbm
t28_Moving Average 20 Day,0.0044248412132942595,lgbm
t26_Low Price,0.004008304985723066,lgbm
t15_Low Price,0.003905139460267935,lgbm
t59_ihsg_close,0.0037501938377194513,lgbm
t19_Ask Price,0.003714790875268788,lgbm
t55_Bid Price,0.003587117237354938,lgbm
t15_Price to Sales Ratio,0.003426329470049394,lgbm
t48_Ask Price,0.0032112204936806457,lgbm
t20_Ask Price,0.002978391152328356,lgbm
t35_Moving Average 20 Day,0.002749504727658201,lgbm
t36_Moving Average 20 Day,0.0025617551372351527,lgbm
t15_Moving Average 20 Day,0.0025444722271309446,lgbm
t48_ihsg_close,0.0025205579371696055,lgbm
t13_Moving Average 20 Day,0.0021978358133381655,lgbm
t49_Bid Price,0.002125487348659975,lgbm
t21_Low Price,0.002123278169775867,lgbm
t50_Low Price,0.0020973836543480913,lgbm
t56_Ask Price,0.002067264583866996,lgbm
t21_Moving Average 20 Day,0.002052296784620058,lgbm
t02_Low Price,0.0019951796936852097,lgbm
t00_Ask Price,0.001983399103574013,lgbm
t12_Price to Sales Ratio,0.0019410391511888918,lgbm
t18_bi_rate,0.0018479061629352366,lgbm
t45_Ask Price,0.0017728849795330228,lgbm
t47_ihsg_close,0.0017519111665990762,lgbm
t27_High Price,0.0017202406999541125,lgbm
t16_Moving Average 20 Day,0.0016805835177950848,lgbm
t39_Low Price,0.0016767319475902785,lgbm
t43_ihsg_close,0.001664931946865697,lgbm
t51_Low Price,0.0016616335833068898,lgbm
t42_Bid Price,0.0016381226761710834,lgbm
t58_Bid Price,0.0015402405952468503,lgbm
t43_Ask Price,0.0015205784207245206,lgbm
t30_Moving Average 20 Day,0.0014979675417398628,lgbm
t33_Low Price,0.0013421416946428914,lgbm
t00_Low Price,0.0012990985771696227,lgbm
