feature,importance,model
t04_Bid Price,0.13744833,xgb
t14_Price to Sales Ratio,0.1281537,xgb
t59_Ask Price,0.0984864,xgb
t59_Bid Price,0.06448915,xgb
t49_Moving Average 20 Day,0.059840035,xgb
t59_Low Price,0.04498824,xgb
t00_Moving Average 20 Day,0.027462287,xgb
t59_High Price,0.0274019,xgb
t55_Bid Price,0.027194956,xgb
t58_Ask Price,0.026510201,xgb
t01_Moving Average 20 Day,0.02582334,xgb
t00_Bid Price,0.022169216,xgb
t13_Ask Price,0.021833856,xgb
t55_Low Price,0.013054639,xgb
t16_Low Price,0.012477295,xgb
t58_High Price,0.011237264,xgb
t06_Low Price,0.010689684,xgb
t04_bi_rate,0.0102678165,xgb
t04_Ask Price,0.010252612,xgb
t55_Ask Price,0.009973441,xgb
t35_Ask Price,0.008769746,xgb
t16_High Price,0.008669235,xgb
t29_High Price,0.008609894,xgb
t27_Ask Price,0.008524317,xgb
t19_Ask Price,0.008372229,xgb
t38_Low Price,0.008098951,xgb
t53_Ask Price,0.008097851,xgb
t52_Low Price,0.007816066,xgb
t17_Low Price,0.0076551554,xgb
t05_bi_rate,0.007118763,xgb
t25_High Price,0.006965154,xgb
t59_Price Earnings Ratio,0.0065664784,xgb
t16_Ask Price,0.006398801,xgb
t26_High Price,0.0060012396,xgb
t56_Moving Average 20 Day,0.0051737665,xgb
t34_Moving Average 20 Day,0.005170368,xgb
t54_High Price,0.005125811,xgb
t11_Low Price,0.0047726016,xgb
t03_bi_rate,0.0047211265,xgb
t59_Price to Sales Ratio,0.004405016,xgb
t09_Ask Price,0.004397289,xgb
t29_Dividend Indicated Yld - Gross,0.004275455,xgb
t54_Low Price,0.004105165,xgb
t32_Low Price,0.003944737,xgb
t59_ihsg_close,0.0039206566,xgb
t58_Bid Price,0.0038788605,xgb
t26_Bid Price,0.0038750896,xgb
t36_Bid Price,0.0036757907,xgb
t50_Ask Price,0.00363671,xgb
t49_inflation_rate,0.0035748351,xgb
t53_Low Price,0.0034372935,xgb
t27_Bid Price,0.0031821448,xgb
t27_High Price,0.0031711673,xgb
t13_Moving Average 20 Day,0.0029682529,xgb
t11_Bid Price,0.0029473482,xgb
t46_Low Price,0.0026762495,xgb
t35_Moving Average 20 Day,0.0026404655,xgb
t57_High Price,0.0026170393,xgb
t51_Low Price,0.002595224,xgb
t47_Low Price,0.002591586,xgb
t36_Moving Average 20 Day,0.0025081432,xgb
t02_Price to Sales Ratio,0.0024990004,xgb
t02_Ask Price,0.0023952574,xgb
t24_Low Price,0.002385167,xgb
t30_Dividend Indicated Yld - Gross,0.002382959,xgb
t23_Moving Average 20 Day,0.002271732,xgb
t16_bi_rate,0.00224843,xgb
t11_High Price,0.002226996,xgb
t03_Low Price,0.002167128,xgb
t25_Low Price,0.0021480408,xgb
t06_High Price,0.0021152145,xgb
t39_Low Price,0.0020494435,xgb
t23_Dividend Indicated Yld - Gross,0.001973842,xgb
t24_Moving Average 20 Day,0.0019317274,xgb
t15_Dividend Indicated Yld - Gross,0.0019134464,xgb
t31_High Price,0.0018225883,xgb
t31_Low Price,0.0018203831,xgb
t13_Low Price,0.0017684954,xgb
t40_Price to Sales Ratio,0.0016936185,xgb
t57_Bid Price,0.0016537011,xgb
t09_Price to Sales Ratio,0.0016374796,xgb
t25_bi_rate,0.0016291989,xgb
t53_Bid Price,0.0015383137,xgb
t22_Ask Price,0.0015025714,xgb
t30_Moving Average 20 Day,0.0014912868,xgb
t40_Low Price,0.0014868042,xgb
t22_bi_rate,0.0013098246,xgb
t43_ihsg_close,0.001298087,xgb
t47_Price to Sales Ratio,0.0012715042,xgb
t14_Low Price,0.00124193,xgb
t37_Price to Sales Ratio,0.0012379318,xgb
t37_bi_rate,0.0012243623,xgb
t43_High Price,0.0011587883,xgb
t16_Moving Average 20 Day,0.001158174,xgb
t29_Moving Average 20 Day,0.0011403569,xgb
t18_bi_rate,0.0011212713,xgb
t13_Bid Price,0.0011178086,xgb
t01_Low Price,0.0011176296,xgb
t08_Low Price,0.0011160909,xgb
t50_High Price,0.0010904332,xgb
t40_ihsg_close,0.0010765076,xgb
t38_Bid Price,0.001052122,xgb
t58_Low Price,0.001021489,xgb
t50_Low Price,0.0010094492,xgb
t12_Low Price,0.0009920193,xgb
t50_Price Earnings Ratio,0.0009862942,xgb
t49_Low Price,0.0009548402,xgb
t40_Price Earnings Ratio,0.00094390323,xgb
t48_Price to Sales Ratio,0.0009428075,xgb
t04_Price to Book Ratio,0.0009130059,xgb
t00_High Price,0.0008928782,xgb
t49_Bid Price,0.00085754355,xgb
t46_bi_rate,0.0008509653,xgb
t49_Price Earnings Ratio,0.0008367258,xgb
t49_Ask Price,0.0008235563,xgb
t18_Moving Average 20 Day,0.0007857672,xgb
