trial,val_mae,params
1,341.4101867675781,"{""n_estimators"": 1061, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 6.0, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
2,471.87091064453125,"{""n_estimators"": 1479, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 2.0, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""gamma"": 0.2}"
3,305.4812927246094,"{""n_estimators"": 1122, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 8.0, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""gamma"": 0.0}"
4,443.734130859375,"{""n_estimators"": 823, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8.0, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""gamma"": 0.1}"
5,370.6239929199219,"{""n_estimators"": 1099, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 6.0, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
6,404.3296203613281,"{""n_estimators"": 1340, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 8.0, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.1}"
7,491.31951904296875,"{""n_estimators"": 1353, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 1.0, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""gamma"": 0.2}"
8,449.81060791015625,"{""n_estimators"": 1660, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
9,474.29193115234375,"{""n_estimators"": 1635, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 6.0, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""gamma"": 0.2}"
10,449.3213195800781,"{""n_estimators"": 1926, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1.0, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
11,420.04217529296875,"{""n_estimators"": 941, ""learning_rate"": 0.01, ""max_depth"": 8, ""min_child_weight"": 4.0, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
12,429.9189147949219,"{""n_estimators"": 931, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 8.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
13,472.84075927734375,"{""n_estimators"": 588, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 4.0, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""gamma"": 0.2}"
14,476.4376525878906,"{""n_estimators"": 850, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1.0, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""gamma"": 0.2}"
15,343.6302490234375,"{""n_estimators"": 1633, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 4.0, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
16,403.8661804199219,"{""n_estimators"": 795, ""learning_rate"": 0.01, ""max_depth"": 8, ""min_child_weight"": 2.0, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
17,355.474365234375,"{""n_estimators"": 355, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 2.0, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
18,317.5653991699219,"{""n_estimators"": 1176, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 6.0, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""gamma"": 0.0}"
19,412.2328796386719,"{""n_estimators"": 1474, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 2.0, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.1}"
20,332.6810302734375,"{""n_estimators"": 1508, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 8.0, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
21,486.4480895996094,"{""n_estimators"": 1363, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 8.0, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""gamma"": 0.2}"
22,404.5474548339844,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 4.0, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.1}"
23,406.4385681152344,"{""n_estimators"": 1851, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 8.0, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
24,482.17010498046875,"{""n_estimators"": 1001, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 4.0, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""gamma"": 0.2}"
