date,forecast_price
2024-12-31,8211.406
2025-01-01,8217.93
2025-01-02,8221.703
2025-01-03,8224.095
2025-01-04,8225.696
2025-01-05,8226.796
2025-01-06,8227.566
2025-01-07,8228.117
2025-01-08,8228.519
2025-01-09,8228.815
2025-01-10,8229.038
2025-01-11,8229.21
2025-01-12,8229.344
2025-01-13,8229.449
2025-01-14,8229.533
2025-01-15,8229.602
2025-01-16,8229.657
2025-01-17,8229.703
2025-01-18,8229.742
2025-01-19,8229.773
2025-01-20,8229.801
2025-01-21,8229.824
2025-01-22,8229.844
2025-01-23,8229.859
2025-01-24,8229.874
2025-01-25,8229.887
2025-01-26,8229.896
2025-01-27,8229.907
2025-01-28,8229.915
2025-01-29,8229.922
