date,forecast_price
2024-12-31,7021.6587
2025-01-01,7027.0615
2025-01-02,7029.678
2025-01-03,7031.3086
2025-01-04,7032.346
2025-01-05,7033.0205
2025-01-06,7033.464
2025-01-07,7033.758
2025-01-08,7033.9536
2025-01-09,7034.085
2025-01-10,7034.1733
2025-01-11,7034.2334
2025-01-12,7034.2744
2025-01-13,7034.3022
2025-01-14,7034.321
2025-01-15,7034.334
2025-01-16,7034.3433
2025-01-17,7034.349
2025-01-18,7034.3535
2025-01-19,7034.357
2025-01-20,7034.359
2025-01-21,7034.3604
2025-01-22,7034.3613
2025-01-23,7034.3623
2025-01-24,7034.363
2025-01-25,7034.3633
2025-01-26,7034.3633
2025-01-27,7034.3633
2025-01-28,7034.3633
2025-01-29,7034.364
