date,forecast_price
2024-12-31,6722.075
2025-01-01,6729.687
2025-01-02,6733.5405
2025-01-03,6735.8135
2025-01-04,6737.265
2025-01-05,6738.226
2025-01-06,6738.8857
2025-01-07,6739.3555
2025-01-08,6739.7007
2025-01-09,6739.962
2025-01-10,6740.1636
2025-01-11,6740.3223
2025-01-12,6740.449
2025-01-13,6740.551
2025-01-14,6740.634
2025-01-15,6740.702
2025-01-16,6740.7583
2025-01-17,6740.8027
2025-01-18,6740.84
2025-01-19,6740.8696
2025-01-20,6740.8945
2025-01-21,6740.916
2025-01-22,6740.9336
2025-01-23,6740.948
2025-01-24,6740.9595
2025-01-25,6740.968
2025-01-26,6740.9746
2025-01-27,6740.979
2025-01-28,6740.984
2025-01-29,6740.9883
