date,forecast_price
2024-12-31,4184.596
2025-01-01,4181.001
2025-01-02,4179.2266
2025-01-03,4178.4814
2025-01-04,4178.2676
2025-01-05,4178.3057
2025-01-06,4178.446
2025-01-07,4178.61
2025-01-08,4178.762
2025-01-09,4178.8887
2025-01-10,4178.9873
2025-01-11,4179.06
2025-01-12,4179.1123
2025-01-13,4179.148
2025-01-14,4179.172
2025-01-15,4179.1875
2025-01-16,4179.197
2025-01-17,4179.202
2025-01-18,4179.2046
2025-01-19,4179.206
2025-01-20,4179.206
2025-01-21,4179.2056
2025-01-22,4179.205
2025-01-23,4179.204
2025-01-24,4179.2036
2025-01-25,4179.203
2025-01-26,4179.202
2025-01-27,4179.202
2025-01-28,4179.2017
2025-01-29,4179.201
