date,forecast_price
2024-12-31,4164.516
2025-01-01,4162.3276
2025-01-02,4160.4854
2025-01-03,4159.1426
2025-01-04,4158.216
2025-01-05,4157.592
2025-01-06,4157.1763
2025-01-07,4156.8994
2025-01-08,4156.716
2025-01-09,4156.593
2025-01-10,4156.5107
2025-01-11,4156.4556
2025-01-12,4156.4185
2025-01-13,4156.393
2025-01-14,4156.376
2025-01-15,4156.3643
2025-01-16,4156.3564
2025-01-17,4156.351
2025-01-18,4156.347
2025-01-19,4156.3447
2025-01-20,4156.343
2025-01-21,4156.342
2025-01-22,4156.341
2025-01-23,4156.3403
2025-01-24,4156.34
2025-01-25,4156.3394
2025-01-26,4156.3394
2025-01-27,4156.3394
2025-01-28,4156.3394
2025-01-29,4156.339
