date,forecast_price
2024-12-31,4002.9883
2025-01-01,3995.455
2025-01-02,3989.735
2025-01-03,3985.4985
2025-01-04,3982.4072
2025-01-05,3980.162
2025-01-06,3978.5312
2025-01-07,3977.3428
2025-01-08,3976.473
2025-01-09,3975.8335
2025-01-10,3975.361
2025-01-11,3975.0107
2025-01-12,3974.7502
2025-01-13,3974.5554
2025-01-14,3974.4097
2025-01-15,3974.3
2025-01-16,3974.2178
2025-01-17,3974.1558
2025-01-18,3974.109
2025-01-19,3974.0737
2025-01-20,3974.047
2025-01-21,3974.0269
2025-01-22,3974.0115
2025-01-23,3974.0
2025-01-24,3973.9912
2025-01-25,3973.9844
2025-01-26,3973.9795
2025-01-27,3973.9756
2025-01-28,3973.9727
2025-01-29,3973.9705
