date,forecast_price
2024-12-31,4152.0312
2025-01-01,4143.963
2025-01-02,4139.033
2025-01-03,4135.8965
2025-01-04,4133.8335
2025-01-05,4132.452
2025-01-06,4131.514
2025-01-07,4130.8687
2025-01-08,4130.419
2025-01-09,4130.1006
2025-01-10,4129.873
2025-01-11,4129.7085
2025-01-12,4129.588
2025-01-13,4129.499
2025-01-14,4129.4326
2025-01-15,4129.3833
2025-01-16,4129.346
2025-01-17,4129.318
2025-01-18,4129.2964
2025-01-19,4129.2803
2025-01-20,4129.268
2025-01-21,4129.259
2025-01-22,4129.2515
2025-01-23,4129.246
2025-01-24,4129.2417
2025-01-25,4129.239
2025-01-26,4129.2363
2025-01-27,4129.2344
2025-01-28,4129.233
2025-01-29,4129.232
