date,forecast_price
2024-12-31,4105.402
2025-01-01,4095.9497
2025-01-02,4090.7993
2025-01-03,4088.1255
2025-01-04,4086.851
2025-01-05,4086.3313
2025-01-06,4086.19
2025-01-07,4086.2185
2025-01-08,4086.3071
2025-01-09,4086.4045
2025-01-10,4086.4888
2025-01-11,4086.5542
2025-01-12,4086.6016
2025-01-13,4086.6343
2025-01-14,4086.656
2025-01-15,4086.67
2025-01-16,4086.6787
2025-01-17,4086.684
2025-01-18,4086.687
2025-01-19,4086.689
2025-01-20,4086.69
2025-01-21,4086.6904
2025-01-22,4086.691
2025-01-23,4086.691
2025-01-24,4086.691
2025-01-25,4086.691
2025-01-26,4086.691
2025-01-27,4086.691
2025-01-28,4086.691
2025-01-29,4086.691
