date,forecast_price
2024-12-31,3474.0364
2025-01-01,3457.0845
2025-01-02,3444.0496
2025-01-03,3433.7583
2025-01-04,3425.6238
2025-01-05,3419.281
2025-01-06,3414.394
2025-01-07,3410.661
2025-01-08,3407.8252
2025-01-09,3405.6797
2025-01-10,3404.0625
2025-01-11,3402.8472
2025-01-12,3402.0674
2025-01-13,3401.5044
2025-01-14,3401.0845
2025-01-15,3400.7725
2025-01-16,3400.5422
2025-01-17,3400.3733
2025-01-18,3400.2502
2025-01-19,3400.1611
2025-01-20,3400.097
2025-01-21,3400.0515
2025-01-22,3400.0193
2025-01-23,3399.997
2025-01-24,3399.9817
2025-01-25,3399.9712
2025-01-26,3399.9644
2025-01-27,3399.96
2025-01-28,3399.9573
2025-01-29,3399.9556
