feature,importance
ihsg_close,0.009050459311240234
Price to Book Ratio,0.0044639097853741115
Price to Sales Ratio,0.00417998980653163
Bid Price,0.003924133271599791
Moving Average 20 Day,0.003847380426512767
Price Change 1 Day Percent,0.0028212961689051638
Dividend Indicated Yld - Gross,0.0014887596441743344
Price Earnings Ratio,0.0013774553287981292
High Price,0.0010131359591873145
Low Price,0.0009883645694658582
ihsg_return_1d,0.0008772110333666233
cpi_index,0.0007237043614233165
inflation_rate,0.0005238165580002233
Ask Price,0.0001250369396681537
exchange_rate_usd_idr,0.0
bi_rate,0.0
