date,forecast_price
2024-12-31,3513.807
2025-01-01,3456.675
2025-01-02,3422.6245
2025-01-03,3398.568
2025-01-04,3382.2388
2025-01-05,3371.9648
2025-01-06,3365.3713
2025-01-07,3361.0007
2025-01-08,3358.1238
2025-01-09,3356.2393
2025-01-10,3355.0068
2025-01-11,3354.2002
2025-01-12,3353.67
2025-01-13,3353.3184
2025-01-14,3353.0833
2025-01-15,3352.9233
2025-01-16,3352.8135
2025-01-17,3352.7363
2025-01-18,3352.6816
2025-01-19,3352.642
2025-01-20,3352.6133
2025-01-21,3352.592
2025-01-22,3352.5762
2025-01-23,3352.5645
2025-01-24,3352.5557
2025-01-25,3352.549
2025-01-26,3352.544
2025-01-27,3352.5403
2025-01-28,3352.5374
2025-01-29,3352.5354
