feature,importance
cpi_index,0.013524521513415195
Price to Book Ratio,0.008392970912730861
Moving Average 20 Day,0.004344972352070421
ihsg_close,0.004305451308221879
Bid Price,0.004223656904214284
bi_rate,0.004190127905652237
ihsg_return_1d,0.00369306179267976
exchange_rate_usd_idr,0.003085688814802173
Low Price,0.0030119563457750107
Price Change 1 Day Percent,0.0027136891871729556
Price Earnings Ratio,0.002015097863234889
Ask Price,0.0008059181682862507
Price to Sales Ratio,0.0
High Price,0.0
inflation_rate,0.0
Dividend Indicated Yld - Gross,0.0
