feature,importance
Low Price,0.012664175459132022
Price Earnings Ratio,0.008315939503760703
Bid Price,0.0074966967542422925
High Price,0.004778704317760885
ihsg_close,0.0029181427341730634
Price Change 1 Day Percent,0.002588139522898323
Moving Average 20 Day,0.0016501388725979887
inflation_rate,0.0015242201935810379
exchange_rate_usd_idr,0.0013172566545782277
Ask Price,0.0007664625571730249
Dividend Indicated Yld - Gross,0.0006368169030692023
cpi_index,0.0003569458844140151
Price to Sales Ratio,0.0002442580201507838
bi_rate,9.251064620911612e-05
ihsg_return_1d,1.2026478846867879e-07
Price to Book Ratio,0.0
