date,forecast_price
2024-12-31,1029.1687
2025-01-01,1033.0293
2025-01-02,1035.0979
2025-01-03,1036.4519
2025-01-04,1037.343
2025-01-05,1037.938
2025-01-06,1038.3396
2025-01-07,1038.6133
2025-01-08,1038.8013
2025-01-09,1038.9315
2025-01-10,1039.0219
2025-01-11,1039.0847
2025-01-12,1039.1285
2025-01-13,1039.1589
2025-01-14,1039.1799
2025-01-15,1039.1943
2025-01-16,1039.2043
2025-01-17,1039.2109
2025-01-18,1039.2153
2025-01-19,1039.2183
2025-01-20,1039.22
2025-01-21,1039.221
2025-01-22,1039.2214
2025-01-23,1039.2217
2025-01-24,1039.2217
2025-01-25,1039.2214
2025-01-26,1039.2211
2025-01-27,1039.221
2025-01-28,1039.2206
2025-01-29,1039.2202
