feature,importance
exchange_rate_usd_idr,0.010480274436607333
Bid Price,0.010400452770409178
cpi_index,0.006832858630029148
ihsg_close,0.005092839417435849
Low Price,0.004331748409701201
Price Change 1 Day Percent,0.003661924729628176
bi_rate,0.003222475781027829
High Price,0.0028048061397081877
Ask Price,0.0022187994676641995
Price Earnings Ratio,0.0019937657886960765
Moving Average 20 Day,0.001959745149360957
Dividend Indicated Yld - Gross,2.185993168192669e-05
Price to Book Ratio,0.0
Price to Sales Ratio,0.0
inflation_rate,0.0
ihsg_return_1d,0.0
