date,forecast_price
2024-12-31,3246.8176
2025-01-01,3224.13
2025-01-02,3208.213
2025-01-03,3196.5063
2025-01-04,3187.6514
2025-01-05,3180.85
2025-01-06,3175.5747
2025-01-07,3171.4543
2025-01-08,3168.2183
2025-01-09,3165.6643
2025-01-10,3163.6414
2025-01-11,3162.0337
2025-01-12,3160.7527
2025-01-13,3159.7297
2025-01-14,3158.9114
2025-01-15,3158.2559
2025-01-16,3157.7302
2025-01-17,3157.3083
2025-01-18,3156.9697
2025-01-19,3156.6973
2025-01-20,3156.4785
2025-01-21,3156.3027
2025-01-22,3156.1611
2025-01-23,3156.0474
2025-01-24,3155.9556
2025-01-25,3155.882
2025-01-26,3155.8228
2025-01-27,3155.775
2025-01-28,3155.7366
2025-01-29,3155.7056
