date,forecast_price
2024-12-31,4141.4307
2025-01-01,4148.162
2025-01-02,4152.956
2025-01-03,4156.1724
2025-01-04,4158.204
2025-01-05,4159.4243
2025-01-06,4160.116
2025-01-07,4160.4775
2025-01-08,4160.64
2025-01-09,4160.6895
2025-01-10,4160.6777
2025-01-11,4160.637
2025-01-12,4160.586
2025-01-13,4160.534
2025-01-14,4160.487
2025-01-15,4160.446
2025-01-16,4160.411
2025-01-17,4160.3833
2025-01-18,4160.3613
2025-01-19,4160.3433
2025-01-20,4160.3296
2025-01-21,4160.319
2025-01-22,4160.3105
2025-01-23,4160.3037
2025-01-24,4160.299
2025-01-25,4160.295
2025-01-26,4160.292
2025-01-27,4160.29
2025-01-28,4160.288
2025-01-29,4160.2866
