date,forecast_price
2024-12-31,4452.8594
2025-01-01,4456.976
2025-01-02,4458.3345
2025-01-03,4458.7866
2025-01-04,4458.913
2025-01-05,4458.897
2025-01-06,4458.8223
2025-01-07,4458.7275
2025-01-08,4458.6323
2025-01-09,4458.544
2025-01-10,4458.467
2025-01-11,4458.4004
2025-01-12,4458.3447
2025-01-13,4458.299
2025-01-14,4458.2607
2025-01-15,4458.2295
2025-01-16,4458.204
2025-01-17,4458.1836
2025-01-18,4458.167
2025-01-19,4458.154
2025-01-20,4458.1426
2025-01-21,4458.134
2025-01-22,4458.127
2025-01-23,4458.1216
2025-01-24,4458.117
2025-01-25,4458.1133
2025-01-26,4458.1104
2025-01-27,4458.108
2025-01-28,4458.1064
2025-01-29,4458.1045
