date,forecast_price
2024-12-31,4528.5747
2025-01-01,4529.776
2025-01-02,4530.289
2025-01-03,4530.7246
2025-01-04,4531.041
2025-01-05,4531.2646
2025-01-06,4531.425
2025-01-07,4531.541
2025-01-08,4531.6274
2025-01-09,4531.6924
2025-01-10,4531.742
2025-01-11,4531.781
2025-01-12,4531.811
2025-01-13,4531.835
2025-01-14,4531.8535
2025-01-15,4531.8687
2025-01-16,4531.8804
2025-01-17,4531.8896
2025-01-18,4531.8975
2025-01-19,4531.9033
2025-01-20,4531.908
2025-01-21,4531.912
2025-01-22,4531.915
2025-01-23,4531.9175
2025-01-24,4531.92
2025-01-25,4531.9214
2025-01-26,4531.9224
2025-01-27,4531.9233
2025-01-28,4531.9243
2025-01-29,4531.925
