feature,importance
Price to Sales Ratio,0.005850955373274964
Price Change 1 Day Percent,0.004801561738297877
Price Earnings Ratio,0.0027826487409627243
cpi_index,0.002625475449825726
Bid Price,0.002256585296293319
High Price,0.0017427490927123816
ihsg_return_1d,0.0009613864511872323
exchange_rate_usd_idr,0.0009242191532393922
ihsg_close,0.0007850507168941918
Dividend Indicated Yld - Gross,0.000516861357027665
inflation_rate,0.0004224054185518365
Low Price,0.000188365339861429
bi_rate,0.00017084922874346375
Ask Price,9.654114740745104e-05
Price to Book Ratio,0.0
Moving Average 20 Day,0.0
