date,forecast_price
2024-12-31,3685.745
2025-01-01,3685.493
2025-01-02,3684.6814
2025-01-03,3684.1482
2025-01-04,3683.8167
2025-01-05,3683.619
2025-01-06,3683.5027
2025-01-07,3683.4353
2025-01-08,3683.3967
2025-01-09,3683.375
2025-01-10,3683.363
2025-01-11,3683.357
2025-01-12,3683.3538
2025-01-13,3683.3528
2025-01-14,3683.3525
2025-01-15,3683.3528
2025-01-16,3683.3533
2025-01-17,3683.354
2025-01-18,3683.3545
2025-01-19,3683.355
2025-01-20,3683.3555
2025-01-21,3683.3557
2025-01-22,3683.356
2025-01-23,3683.3562
2025-01-24,3683.3564
2025-01-25,3683.3564
2025-01-26,3683.3567
2025-01-27,3683.3567
2025-01-28,3683.357
2025-01-29,3683.357
