feature,importance
Ask Price,0.003827916710482291
Dividend Indicated Yld - Gross,0.0033114509851050874
Price to Book Ratio,0.0032795807023325726
cpi_index,0.0032673905021511035
exchange_rate_usd_idr,0.00273460448240965
ihsg_return_1d,0.0022160392176980787
Price to Sales Ratio,0.0019857267461096248
High Price,0.0016923702981633463
Bid Price,0.0014205457080000397
bi_rate,0.0013058370606611595
Price Earnings Ratio,0.001285504685559622
Low Price,0.0011963724022886397
Moving Average 20 Day,0.0
Price Change 1 Day Percent,0.0
inflation_rate,0.0
ihsg_close,0.0
