feature,importance
Low Price,0.013392317778974153
Ask Price,0.005615273927752343
Price to Book Ratio,0.005075259801621242
Price Earnings Ratio,0.004765279475444319
ihsg_return_1d,0.004716296657764668
ihsg_close,0.003908658299284683
High Price,0.002040222397772594
Dividend Indicated Yld - Gross,0.0019616694732879614
Price Change 1 Day Percent,0.00010747723928135425
Moving Average 20 Day,9.223728751142866e-05
bi_rate,6.347719528194966e-05
Bid Price,3.743810423960089e-05
Price to Sales Ratio,2.2094065789133204e-05
inflation_rate,0.0
cpi_index,0.0
exchange_rate_usd_idr,0.0
