date,forecast_price
2024-12-31,1445.4615
2025-01-01,1447.0084
2025-01-02,1447.7014
2025-01-03,1448.133
2025-01-04,1448.4221
2025-01-05,1448.6233
2025-01-06,1448.7676
2025-01-07,1448.8733
2025-01-08,1448.9524
2025-01-09,1449.0125
2025-01-10,1449.0585
2025-01-11,1449.0942
2025-01-12,1449.1223
2025-01-13,1449.1444
2025-01-14,1449.1619
2025-01-15,1449.1758
2025-01-16,1449.1868
2025-01-17,1449.1956
2025-01-18,1449.2025
2025-01-19,1449.2083
2025-01-20,1449.2128
2025-01-21,1449.2163
2025-01-22,1449.2192
2025-01-23,1449.2217
2025-01-24,1449.2235
2025-01-25,1449.2251
2025-01-26,1449.2263
2025-01-27,1449.2273
2025-01-28,1449.2281
2025-01-29,1449.2288
