feature,importance
Price to Sales Ratio,0.006301540962886062
Bid Price,0.006072690692963071
bi_rate,0.00460970458613398
High Price,0.003973545694801333
Price to Book Ratio,0.002759329049149525
Price Earnings Ratio,0.0024648029512415325
Low Price,0.0017822910890875694
exchange_rate_usd_idr,0.0013340571128840795
ihsg_close,0.0003924137539191468
Ask Price,0.0003318275771259019
cpi_index,0.00033166793097432065
Moving Average 20 Day,0.0003063861416497591
ihsg_return_1d,0.00016334391912096191
Price Change 1 Day Percent,0.000138276338839205
inflation_rate,0.0
Dividend Indicated Yld - Gross,0.0
