feature,importance
Price Change 1 Day Percent,0.004326598656674226
Bid Price,0.00386444023207355
Price to Book Ratio,0.0035603302150355783
Low Price,0.0027008271705992034
cpi_index,0.002660444501088931
Price to Sales Ratio,0.0019465262050895628
ihsg_return_1d,0.0019330128251264503
inflation_rate,0.001676243751978454
exchange_rate_usd_idr,0.0010779002118700485
bi_rate,0.0010325595232037203
ihsg_close,0.0006850556192847984
Ask Price,0.0006494622658162086
High Price,8.509979428102585e-05
Moving Average 20 Day,0.0
Price Earnings Ratio,0.0
Dividend Indicated Yld - Gross,0.0
