date,forecast_price
2024-12-31,1391.0272
2025-01-01,1392.7655
2025-01-02,1393.5156
2025-01-03,1394.0676
2025-01-04,1394.4541
2025-01-05,1394.7294
2025-01-06,1394.9281
2025-01-07,1395.0731
2025-01-08,1395.1798
2025-01-09,1395.2588
2025-01-10,1395.3177
2025-01-11,1395.362
2025-01-12,1395.3955
2025-01-13,1395.4211
2025-01-14,1395.4407
2025-01-15,1395.4557
2025-01-16,1395.4674
2025-01-17,1395.4767
2025-01-18,1395.4839
2025-01-19,1395.4896
2025-01-20,1395.4943
2025-01-21,1395.4979
2025-01-22,1395.5009
2025-01-23,1395.5033
2025-01-24,1395.5052
2025-01-25,1395.5068
2025-01-26,1395.5083
2025-01-27,1395.5094
2025-01-28,1395.5103
2025-01-29,1395.5111
