date,forecast_price
2024-12-31,1408.5669
2025-01-01,1413.0425
2025-01-02,1416.0857
2025-01-03,1418.3302
2025-01-04,1419.9763
2025-01-05,1421.1904
2025-01-06,1422.0889
2025-01-07,1422.7561
2025-01-08,1423.2534
2025-01-09,1423.6249
2025-01-10,1423.9032
2025-01-11,1424.1123
2025-01-12,1424.2697
2025-01-13,1424.3884
2025-01-14,1424.478
2025-01-15,1424.5459
2025-01-16,1424.5973
2025-01-17,1424.6364
2025-01-18,1424.6659
2025-01-19,1424.6885
2025-01-20,1424.7056
2025-01-21,1424.7186
2025-01-22,1424.7286
2025-01-23,1424.7362
2025-01-24,1424.7421
2025-01-25,1424.7465
2025-01-26,1424.7498
2025-01-27,1424.7524
2025-01-28,1424.7544
2025-01-29,1424.756
