date,forecast_price
2024-12-31,1373.7483
2025-01-01,1377.3774
2025-01-02,1379.58
2025-01-03,1381.1096
2025-01-04,1382.1674
2025-01-05,1382.8989
2025-01-06,1383.4038
2025-01-07,1383.7518
2025-01-08,1383.9915
2025-01-09,1384.1569
2025-01-10,1384.2711
2025-01-11,1384.3503
2025-01-12,1384.4055
2025-01-13,1384.4442
2025-01-14,1384.4714
2025-01-15,1384.4908
2025-01-16,1384.5046
2025-01-17,1384.5146
2025-01-18,1384.5219
2025-01-19,1384.5271
2025-01-20,1384.531
2025-01-21,1384.5339
2025-01-22,1384.5361
2025-01-23,1384.5377
2025-01-24,1384.5388
2025-01-25,1384.5398
2025-01-26,1384.5405
2025-01-27,1384.541
2025-01-28,1384.5414
2025-01-29,1384.5417
